Código do Pedido,Caixas,Data do Pedido,Reservado Por,Data de Entrega,Razão Social,Nome,Cidade,UF,Expedido Em,Expedido Por
PD 02926,39,11/04/2023,,02/08/2023,SERMED COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,SERMED COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,Rio de Janeiro,RJ,06/12/2025,cintia
PD 20527,12,11/11/2024,,21/03/2025,FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ,FUNDAÇÃO DE APOIO À PESQ CIENT E TECNOL DA UFRRJ,Seropédica,RJ,21/03/2025,maxwell
PD 21190,80,29/11/2024,,03/12/2024,"MMED DISTRIBUIDORA, IMPORTADORA, COMERCIO E SERVICOS LTDA.",MMED DISTRIBUIDORA,Jaguariúna,SP,10/01/2025,gustavo
PD 21435,35,05/12/2024,,03/01/2025,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA,Belo Horizonte,MG,03/01/2025,gustavo
PD 21471,49,06/12/2024,,07/01/2025,F LIMA & BORGES COMERCIO E REPRESENTACAO LTDA,F LIMA & BORGES COMERCIO E REPRESENTACAO LTDA(Fernanda Lima),Alagoinhas,BA,08/01/2025,maxwell
PD 21571,20,09/12/2024,,02/01/2025,IOL INSTITUTO DE OLHOS DOS LAGOS LTDA,IOL INSTITUTO DE OLHOS DOS LAGOS LTDA,Saquarema,RJ,02/01/2025,jonas
PD 21700,1,12/12/2024,,03/01/2025,CMHI - CENTRO MEDICO HOSPITALAR INTEGRADO LTDA.,CENTRO MÉDICO HOSPITALAR INTEGRADO,Belo Horizonte,MG,03/01/2025,gustavo
PD 21732,2,12/12/2024,,12/12/2024,ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS,ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS,Diadema,SP,02/01/2025,jonas
PD 21749,13,12/12/2024,,12/12/2024,"INSTITUTO DE DESENVOLVIMENTO, ENSINO E ASSISTENCIA A SAUDE - IDEAS",I D E A S - INSTITUTO DESENVOLVIMENTO ENSINO E ASS,Rio de Janeiro,RJ,02/01/2025,gustavo
PD 21785,14,13/12/2024,,26/12/2024,FLMED REPRESENTACAO E COMERCIO DE MEDICAMENTOS EIRELI,FLMED REPRESENTACAO E COMERCIO,Teresópolis,RJ,08/01/2025,jonas
PD 21830,155,16/12/2024,,07/01/2025,UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO,UNIMED BELO HORIZONTE COOP DE TRABALHO MEDICO,Betim,MG,07/01/2025,gustavo
PD 21888,62,17/12/2024,,17/12/2024,NEW LIFE COMERCIO DE MATERIAIS E EQUIPAMENTOS CIRURGICOS E PRESTACOES DE SERVICOS LTDA,NEW LIFE COMERCIO DE MATERIAIS E EQUIPAMENTOS CIRURGICOS E PRESTACOES DE SERVICOS LTDA,Duque de Caxias,RJ,02/01/2025,jonas
PD 21897,40,17/12/2024,,06/01/2025,ALIANÇA DISTR DE PRODUTOS MEDICOS HOSPITAL LTDA,ALIANÇA DISTR DE PRODUTOS MEDICOS HOSPITAL LTDA,Rio de Janeiro,RJ,10/01/2025,gustavo
PD 21929,47,17/12/2024,,23/12/2024,UNIMED SAO GONCALO NITEROI SOC COOP SERV MED HOSP LTDA,UNIMED LESTE FLUMINENSE - HOSPITAL ITAIPU - RJ,Niterói,RJ,08/01/2025,jonas
PD 21937,29,18/12/2024,,15/01/2025,UNIMED DE BAURU COOPERATIVA DE TRABALHO MEDICO,UNIMED DE BAURU COOPERATIVA DE TRABALHO MEDICO,Bauru,SP,15/01/2025,maxwell
PD 21938,222,18/12/2024,,18/12/2024,GOOD MED SURGICAL LTDA,GOOD MED SURGICAL LTDA,Recife,PE,06/01/2025,gustavo
PD 21945,4,18/12/2024,,03/01/2025,CLINICA DE OLHOS SANTA BRIGIDA S/S LTDA,CLINICA DE OLHOS SANTA BRIGIDA S/S LTDA,Cruzeiro,SP,03/01/2025,gustavo
PD 21978,139,19/12/2024,,03/01/2025,CURARMED COMERCIO DE MATERIAIS MEDICOS HOSPITALARES LTDA,CURARMED COMERCIO DE MATERIAIS MEDICOS HOSPITALARES LTDA,Campo Grande,MS,14/01/2025,jonatha
PD 21985,67,19/12/2024,,19/12/2024,ONCOLOGIA REDE DOR,ONCOLOGIA REDE DOR,Rio de Janeiro,RJ,06/01/2025,gustavo
PD 22021,26,20/12/2024,,03/01/2025,ESTEVIA DISTRIBUIDORA DE MEDICAMENTOS EIRELI,ESTEVIA DISTRIBUIDORA DE MEDICAMENTOS EIRELI,Nova Iguaçu,RJ,03/01/2025,gustavo
